,Time Step,Right AP,Right UR,Right DP,Left AP,Left UR,Left DP,Name,pres RH,press LR,Rprediction y,Rprediction x,Lprediction y,Lprediction x,Rdirection ,Ldirection 
0,1614258689.0,0.9551072725608081,0.25244911038544876,0.16455580309457685,0.7343974120303964,0.6479689931943724,-0.24561296426282542,traverse,0.0002049585977559461,6.473234616199401e-05,8.05331780257361,12.021670429977766,-17.260687363216707,-5.585441105126161,3,0
43,1614258689.86,0.9447494914982127,0.2675243243622096,0.16705948446364463,0.7339116685093706,0.6479580717205081,-0.2470792854727171,traverse,1.1171393257929731,0.9909753387067666,7.947199939111191,12.091084566014626,6.449830143339878,-7.7128614195787915,3,3
86,1614258690.72,0.9546864788146583,0.24370778221771866,0.15272885638936726,0.7324462682320262,0.6489442672329022,-0.25439281349483656,traverse,1.1627565525765036,0.3992513577069684,8.054285619599614,12.00179213747669,6.444491348445271,-7.713127813321368,3,3
129,1614258691.58,1.0376781876296397,0.2432182976127983,0.22281151548246342,0.7368467366744288,0.6474796496821897,-0.2392711173571241,traverse,0.000126253189568236,0.018095573997614665,8.763996811016995,11.56902948049751,6.422998580991924,-7.722616065619492,3,3
172,1614258692.44,0.9813807542287947,0.18760765506042185,0.23458327601456305,0.7295146883017604,0.6436159509704525,-0.24560416793238282,traverse,0.8140698807235187,1.2485232996413862,8.464183099406114,12.074799780934889,6.476647083149111,-7.713791837904074,3,3
215,1614258693.3,1.0073361785297599,0.2884799851366672,0.20522347890973522,0.7358652822833968,0.6513868739638083,-0.23194365381573115,traverse,0.5954809123534989,0.9965103578624247,8.422281840276213,11.704930797164959,6.4217108125787705,-7.672147015199551,3,3
258,1614258694.16,0.8957629373328257,0.17676242711551957,0.4753862195135603,0.7309614507782614,0.6484946431475136,-0.22753388345371725,traverse,0.28598987416904587,0.24745142747399732,8.114617687167808,13.366116184145561,6.469705196282191,-7.690735420182813,1,3
301,1614258695.02,0.8795410171633617,0.3991736322412742,0.6521924210582213,0.7270989025023128,0.6713214187303714,-0.2333919845779258,traverse,0.9496425538084199,0.9346849407699714,5.862487889301179,20.164360140409308,6.443516383501456,-7.639559215279366,2,1
344,1614258695.88,0.38354377253756383,0.25787469396060425,0.5430075944805965,0.7187425456310519,0.6710459805616513,-0.25879296480874675,traverse,1.7586194107690543,1.2467123240505444,-2.361408227770297,22.07898853209086,2.778357956790118,15.383914082728426,1,3
387,1614258696.74,0.7100997081275092,0.80891455302616,0.25390533865601683,0.724648947404899,0.6519322331685511,-0.2460905234784568,traverse,2.6866598438285947,0.99865310053782,-1.2227204441400046,18.673827199410127,0.6939670905724986,11.618179448449617,3,0
430,1614258697.6,0.9346116341740413,0.32423892928845904,0.3477923859347488,0.7372920291755274,0.647988210074591,-0.2382435625058892,traverse,0.5362168077226825,0.9458562384648398,0.32214746316922493,14.363505248736903,2.5054347138556983,9.79914990255376,0,2
473,1614258698.46,0.7564652681830281,0.4887849829457966,0.3227375991637316,0.7329354562436059,0.6586776821770015,-0.24019331619448755,traverse,0.2026657238809936,0.33032623095968894,-0.026883556797321795,17.625499791926295,-1.6697653218484243,15.651251336172656,3,0
516,1614258699.32,0.7139298283497656,0.6721162460108459,0.12212536414183262,0.7339268714077708,0.6509361225412934,-0.24951333824195446,traverse,0.18171609922499157,1.3103670045385196,-0.49531001499961125,16.22694150418897,-1.3647831508942092,15.884760585114183,3,0
559,1614258700.18,0.4243784432534087,0.8108878443219415,0.2519127572748784,0.736382566918647,0.6499214207212659,-0.230502773003358,traverse,1.1282478270057672,1.0123164623061487,-2.553367025243549,17.34965916032532,-0.6162178744137607,15.795437955822473,3,3
602,1614258701.04,0.7816089921404852,0.548349793878532,0.35056118494946564,0.7344528320038876,0.6527268564238355,-0.24161512588077952,traverse,0.2364370697537667,0.0320979302817238,2.0012124805936002,9.425212073423346,-0.2980132513079843,14.259206639443878,2,3
645,1614258701.9,0.8410550695802568,0.42514408258176734,0.4094854253626254,0.7457081143648318,0.6143808982339164,-0.24862488849222655,traverse,1.6856513758999203,1.3012785104392175,0.4348765978412361,6.2717006815051715,0.5206185936372778,8.684179606250485,1,2
688,1614258702.76,0.9211241647673515,0.3006714664347569,0.34937438007248234,0.7567680249622577,0.6132836707516017,-0.2412179914425657,traverse,1.6619716286077881,1.7183470983773086,3.208918571291597,12.594092065943773,-13.204575233119934,7.674909286971562,2,1
731,1614258703.62,0.8920565093675386,0.2653207243309325,0.32351840220806655,0.7573444162354576,0.630328608015822,-0.2553857616888914,traverse,0.43518611870134905,2.6525010921441132,-2.9413718466926064,13.44505591802411,-12.830153277682253,8.978962391966531,3,0
774,1614258704.48,0.9088018838835075,0.3702075549954836,0.4112695935913867,0.7562811513575176,0.6176520860510459,-0.24560189584735292,traverse,0.2896191249845042,0.02214010466540126,-3.984424100878119,10.46715411539045,-6.008228529123636,14.409506026645595,3,1
